educstat,city,country,gender,digitools,industry,careerstg,worksame,workcity,salary,typework,sitework,datarole,restofrole,sizeteam,ingestion,transform,warehs,orchest,busint,reversetl,dataqual,datacatalog,cloudplat,noncloudplat,generaltools,whatused,useai,hostedntbk,hardware,depwebsite,depwebres,otherfb,spneeds,volunteer,comms,successmethod,employertype,age_grp
College degree,Bulacan,Philippines,Male,Not currently using any digital tools for learning,"IT, BPO, and Business Services",Career shifter,Work city same as residence,Davao City,"15,001 to 25,000",Full-time,100% onsite,My current role is managing the plant's recycling management facility while also pursuing a career as a data scientist/analyst.,"Management, Data Analyst, Business Analyst",4 to 5,,,,,Power BI,,,Databricks,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure","Oracle Database, IBM Db2","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Slack",,"Chatgpt, Gemini",Databricks Collaborative Notebooks,workstation,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Power BI Philippines UG, Project SPARTA, NLPinas","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,,My network  - people I know,Local employer,35 to 39
College degree,"Manila, Philippines",Philippines,Male,"Google Analytics, Google Cloudskills Boost, Google Developers, Kaggle Online course, LeetCode, W3Schools",Own Business/ Consultancy/Freelance,Career shifter,Work city different from residence,US,"25,001 to 35,000",Freelance,Mostly work from home/ fully remote,Management,"Management, Developer",1 - Just me,Meltano,dbt,postgresql,Dagster,,,,,Amazon Web Services (AWS),PostgreSQL,"Google sheets, Google Drive, Google Meet, Slack, Airtable and Causal","Appscript (Google), Python, SQL",Chatgpt,No,laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Community Manager,,LinkedIn,Multinational employer,30 to 34
College degree,"Antipolo,Philippines",Philippines,Male,"Coursera, Datacamp, Kaggle Online course, Udemy, Youtube bootcamp",Logistics,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,Datahub,,"Oracle Database, mostly company-specific","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",Python,Chatgpt,,desktop,"No, I just found out now.",,,,"Answer surveys, Coordinate during events",,,Multinational employer,35 to 39
College degree,"Taguig, Philippines",Philippines,Male,"Coursera, Udemy","IT, BPO, and Business Services",Career shifter,Work city same as residence,MAKATI,"15,001 to 25,000",Full-time,100% onsite,Software Engineer,Appraise properties and Machineries,4 to 5,,,,,Power BI,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet","DAX (Power BI), Python, SQL, VBA",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",IT Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Once I become expert in the specific field, I would love to share it to others.",None. I'm an introvert.,LinkedIn,Local employer,25 to 29
College degree,"Cebu City, Philippines",Philippines,Male,"Google Cloudskills Boost, LinkedIn Learning, W3Schools",Not working,Student/ New grad/ Career Break,,,,,,,,,,,DynamoDB,,,,,,"Google Cloud Platform (GCP), Databricks",,"Google sheets, Excel, Google Drive, OneDrive, Google Meet, Discord","Javascript, Python",,"Kaggle Notebooks, Google Cloud Vertex AI Workbench, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives",Learning things about one another first,,,20 to 24
College degree,"Paranaque, Philippines",Philippines,Male,Datacamp,Banking / Finance / Insurance,Career shifter,Work city different from residence,Manila,"35,001 to 45,000",Full-time,100% onsite,IT hardware,"Data Engineer, Data Analyst, Business Analyst",1 - Just me,,,DynamoDB,,Looker,,Internal Pyspark Library,,Amazon Web Services (AWS),"Apache Spark, PostgreSQL","Excel, Dropbox, OneDrive, MS Teams",,Chatgpt,Amazon EMR Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Regularly post content, Resource for specific topic, Co-training/ Training",Polls and surveys,"LinkedIn, OnlineJobs.ph",Local employer,30 to 34
College degree,"Davao City, Philippines",Philippines,Female,"Coursera, Datacamp, Git Hub Learning Lab, Google Analytics, Google Developers, Kaggle Online course, LeetCode, MicrosoftLearn",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Clickup, Zoom, MS Teams, Google Meet, Discord","Python, SQL","Chatgpt, Gemini",none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,Career advancement,Answer surveys,I think being more approachable in community tabs and I recommend din po sana ang forums in DC but it's already there so that's good po,,,20 to 24
College degree,"Manila, Philippines",Philippines,Female,Cisco,"IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Google Drive, Zoom, Discord",Python,"No, I do not use AI currently","Colab Notebooks, Google Cloud Vertex AI Workbench, Databricks Collaborative Notebooks",laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, DEVCON Philippines, Digital Analytics Philippines, WiTech, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Resource for specific topic",,,Intern,30 to 34
College degree,"Manila, Philippines",Philippines,Male,"Coursera, LinkedIn Learning, Udemy, W3Schools, YouTube Video",Not working,Career shifter,Work city different from residence,"Los Banos, Laguna","15,001 to 25,000",Full-time,Mostly work from home/ fully remote,Management,"Management, Data Engineer, Data Analyst, Business Analyst",1 - Just me,,,,,,,,,,,"Google sheets, Excel, Google Drive, Google Meet","DAX (Power BI), SQL","Chatgpt, Poe","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Digital Analytics Philippines, Power BI Philippines UG, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,,Jobstreet,,20 to 24
Other - specify,"Caloocan, Philippines",Philippines,Male,"W3Schools, Youtube bootcamp",Not working,Student/ New grad/ Career Break,,,,,,,,,,,"Don't know, None",,"Tableau, Python webapps","Don't know, None","Don't know, None","Don't know, None",Microsoft Azure,"Oracle Database, IBM Db2","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","SQL, dbVisualizer","Chatgpt, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Python Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,,,,20 to 24
College degree,United Kingdom,United Kingdom,Female,"Codecademy, Datacamp, Freecodecamp, Kaggle Online course, Udemy, Youtube bootcamp","IT, BPO, and Business Services",Student/ New grad/ Career Break,Work city different from residence,Taguig,"35,001 to 45,000",Freelance,No work as of now,Na,"Data Engineer, Data Analyst, Data Scientist, Business Analyst",4 to 5,"Visual Studio, Visual Studio Code, C#","Dataform, Visual Studio, Visual Studio Code, C#",DynamoDB,I currently have no knowledge in this,Looker,"None, ",Don't know,Zeenea,Amazon Web Services (AWS),"PostgreSQL, Oracle Database","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Monday.com, MS Teams, Slack","Excel,powerbi",Chatgpt,"Kaggle Notebooks, Colab Notebooks, Deepnote Notebooks",Vm,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","FTW Foundation, PyData Philippines, Python Philippines",Improve presentation and communication skills,"Coordinate during events, Joint initiative with other groups",,"My network  - people I know, Internal promotion from Ops",Multinational employer,35 to 39
College degree,"Quezon City, Philippines",Philippines,Female,"Datacamp, Google Cloudskills Boost",Self-Employed,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet",,Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Design Philippines, AI Pilipinas, MS in Data Science - AIM Group, Philippine Data Scientists Community - eScience, Power BI Philippines UG, Project SPARTA, Python Philippines, R User Group - Philippines, She loves data, SPARTA PH: Data Engineer, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Resource for specific topic",Set clear roles and expectations so everyone knows their responsibilities and deadlines. Regular check-ins to help track progress,,,20 to 24
College degree,"Taguig, Philippines",Philippines,Male,Cisco,Education,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Slack, Discord",Python,Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",AWS AI/ML,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",Location-based-groupchats,,,
College degree,"Sorsogon City, Philippines",Philippines,Male,Not currently using any digital tools for learning,,Career shifter,Work city same as residence,Panabo City,"15,001 to 25,000",Freelance,Mostly work from home/ fully remote,trader,Data Analyst,11 to 30,Don't know,Don't know,"AWS Redshift, Snowflake, Hadoop",Don't know,Power BI,,,,"Amazon Web Services (AWS), Snowflake",,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Discord","Python, SQL",Chatgpt,,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Resource for specific topic, Co-training/ Training, Volunteer to speak in events","Enrolling in STAGE Academy Course, read ""Think Faster, Talk Smarter"" book",My network  - people I know,Multinational employer,20 to 24
Secondary school student,Nueva Ecija Cabanatuan City,Philippines,Female,Coursera,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, Discord","DAX (Power BI), M language (Power Query), VBA",Chatgpt,PythonAnywhere Jupyter Notebook,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,Upskill / Skill acquisition,Answer surveys,Non so far,,,20 to 24
Other - specify,"Taguig, Philippines",Philippines,Male,"Coursera, Freecodecamp, Git Hub Learning Lab, Oracle University, Pluralsight, Udemy",Not working,Student/ New grad/ Career Break,,,,,,,,,,,Big Query,,,,,,"Microsoft Azure, Sharepoint",,"Google sheets, Google Drive, Zoom, Discord","Appscript (Google), Javascript, Python, R, SQL, Typescript","Chatgpt, Copilot",,laptop,"No, I just found out now.",,Python Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Joint initiative with other groups, Volunteer for group initiatives",Non so far,,,20 to 24
College degree,"Batangas, Philippines",Philippines,Male,Not currently using any digital tools for learning,Real estate,Career shifter,Work city same as residence,Muntinlupa,"55,001 to 65,000",Full-time,100% onsite,Academic,"Data Analyst, Applplication Specialist/QA/Technical Support",6 to 10,,,,,,,,,,,"Google sheets, Excel",DAX (Power BI),"Chatgpt, Copilot, Datalab",Colab Notebooks,laptop,"No, I just found out now.",,Python Philippines,"Career advancement, Decision to shift","Answer surveys, Connect with sponsors",,My network  - people I know,Local employer,
Master's degree,"Caloocan, Philippines",Philippines,Male,"Coursera, LinkedIn Learning, Udemy","IT, BPO, and Business Services",Professional,Work city different from residence,Quezon City,"35,001 to 45,000",Contract fixed timeline,100% onsite,Business Analyst,"Management, Data Engineer, Data Analyst",6 to 10,,,,,"Power BI, DOMO",,,,Don't know,Oracle Database,"Google sheets, Excel, Google Drive, OneDrive, MS Teams","Python, R",Chatgpt,,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines, Java User Group Philippines, Python Philippines, R User Group - Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Co-training/ Training",,My network  - people I know,Local employer,45 to 49
College degree,Bacoor,Philippines,Male,"Datacamp, Freecodecamp, LinkedIn Learning, MicrosoftLearn, Youtube bootcamp, Forex Trading",Healthcare,Career shifter,Work city same as residence,"Monkayo, Davao de Oro","65,001 to 75,000",Part-time,Mostly work from home/ fully remote,Management,"Business Analyst, Analytics Engineer",4 to 5,,,Power Query,,,,,,Microsoft Azure,,Excel,"VB, C#",Chatgpt,,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, AWS AI/ML, Power BI Philippines UG, PyData Philippines, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Mentor,"A number of contents every week. For instance, 3 posts in a span of a week. Simple topics like top 3 most question asked during Data analytics interview. Basic SQL-answered content. :)","LinkedIn, Upwork, OnlineJobs.ph, My network  - people I know",Local employer,
College degree,"Gen. Trias City, Cavite, Philippines",Philippines,Female,"Freecodecamp, Khan Academy, W3Schools","IT, BPO, and Business Services",Professional,Work city different from residence,Quezon City,"35,001 to 45,000",Contract fixed timeline,100% onsite,Software Engineer,"Management, Data Analyst, Data Scientist, Accountant",6 to 10,,,,,"Power BI, Tableau",,,,,,"Google sheets, Excel, Google Drive, Trello, Zoom, MS Teams, Google Meet","Appscript (Google), DAX (Power BI), M language (Power Query), Python, R, SQL",Copilot,PythonAnywhere Jupyter Notebook,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",FTW Foundation,,"Answer surveys, Connect with sponsors",More collaboration and face-to-face meetings or seminars,My network  - people I know,Local employer,30 to 34
